date,time,time_begin,time_end,Food_Item,Amount_Consumed,Units,Food_Item_Description,calorie,total_carb,dietary_fiber,sugar,protein,total_fat
2020-03-14,13:44:00,2020-03-14 13:44:00,14:00:00,(Costco) Seafood Stuffed Salmon,129.0,gram,Seafood Stuffed Salmon,201.0,1.5,0.2,0.2,24.0,11.0
2020-03-14,13:44:00,2020-03-14 13:44:00,14:00:00,(Green Giant) Rice Cauliflower - Plain,58.0,gram,Riced Cauliflower,15.0,2.9,1.2,1.1,1.1,0.2
2020-03-14,13:44:00,2020-03-14 13:44:00,14:00:00,(Dayka and Hackett) Navel Orange,212.0,gram,Navel Orange,104.0,27.0,4.7,18.0,1.9,0.3
2020-03-14,17:55:00,2020-03-14 17:55:00,18:10:00,Salad - Butter Lettuce,171.0,gram,Salad,171.0,8.5,3.3,3.7,2.5,0.4
2020-03-14,17:55:00,2020-03-14 17:55:00,18:10:00,Chickpeas,71.0,gram,Chickpeas,116.0,19.0,5.4,3.4,6.3,1.8
2020-03-14,17:55:00,2020-03-14 17:55:00,18:10:00,Red Onion,26.0,gram,Red Onion,11.4,2.6,0.4,1.2,0.4,0.0
2020-03-14,17:55:00,2020-03-14 17:55:00,18:10:00,Chicken,59.0,gram,Chicken,130.0,0.0,0.0,0.0,14.0,7.7
2020-03-14,17:55:00,2020-03-14 17:55:00,18:10:00,(Toast) Red Wine Vinegrette,1.0,tablespoon,Red Wine Vinaigrette,35.0,1.8,0.0,1.6,0.1,3.1
2020-03-14,20:30:00,2020-03-14 20:30:00,20:45:00,(Jolly Time) Select Yellow Pop Corn - Air Popped,0.25,cup,(Jolly Time) Yellow Popcorn,200.0,48.0,12.0,0.0,8.0,2.0
2020-03-14,20:30:00,2020-03-14 20:30:00,20:45:00,Virgil's Zero Sugar Black Cherry Soda,12.0,ounce,(Virgil's) Zero Black Cherry Cream Soda,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,22:25:00,2020-03-14 22:25:00,22:30:00,(Peppridge Farm) Whole Wheat Hamburger Bun,1.0,,(Peppridge Farm) Whole Wheat Hamburger Bun,130.0,22.0,3.0,3.0,7.0,1.5
2020-03-14,22:25:00,2020-03-14 22:25:00,22:30:00,(Jif) Extra Crunchy Peanut Butter,2.0,tablespoon,(Jif) Extra Crunchy Peanut Butter,190.0,8.0,2.0,3.0,7.0,16.0
2020-03-15,10:05:00,2020-03-15 10:05:00,10:15:00,(Quaker) Old Fashioned Oats,1.0,,(Quaker) Old Fashioned Oats,150.0,27.0,4.0,1.0,5.0,3.0
2020-03-15,10:05:00,2020-03-15 10:05:00,10:15:00,(Red Delicious) Apple with Skin,113.0,gram,Red Delicious Apple,125.0,30.0,4.9,22.0,0.6,0.4
2020-03-15,10:05:00,2020-03-15 10:05:00,10:15:00,Ground Flaxseeds,1.0,tablespoon,Flaxseed,55.0,3.0,2.8,0.2,1.9,4.3
2020-03-15,10:05:00,2020-03-15 10:05:00,10:15:00,(Now) Whole Psyllium Husks,2.0,tablespoon,(Now) Whole Psyllium Husks,35.0,8.0,7.0,0.0,0.0,0.0
2020-03-15,10:05:00,2020-03-15 10:05:00,10:15:00,(Harris Teeter) Fat Free Organic Milk,1.0,cup,(Harris Teeter) Fat Free Organic Milk,80.0,13.0,0.0,12.0,8.0,0.0
2020-03-15,13:00:00,2020-03-15 13:00:00,13:10:00,(Peppridge Farm) Whole Wheat Hamburger Bun,1.0,,(Peppridge Farm) Whole Wheat Hamburger Bun,130.0,22.0,3.0,3.0,7.0,1.5
2020-03-15,13:00:00,2020-03-15 13:00:00,13:10:00,(Jif) Extra Crunchy Peanut Butter,2.0,tablespoon,(Jif) Extra Crunchy Peanut Butter,190.0,8.0,2.0,3.0,7.0,16.0
2020-03-15,16:35:00,2020-03-15 16:35:00,16:45:00,"Homemade Chicken Noodle Soup with chicken, onion, celery, (Kirkland) organic chicken stock, and (Amish Kitchens) wide egg noodles",2.0,cup,Homemade Chicken Noodle Soup ,124.0,15.0,1.0,1.3,6.3,4.7
2020-03-15,19:05:00,2020-03-15 19:05:00,19:20:00,Tilapia,58.0,gram,Tilapia,74.0,0.0,0.0,0.0,15.0,1.5
2020-03-15,19:05:00,2020-03-15 19:05:00,19:20:00,(Harris Teeter) Charleston Crabcake,52.0,gram,Crabcake,90.0,3.7,0.3,0.7,5.8,5.7
2020-03-15,19:05:00,2020-03-15 19:05:00,19:20:00,(Green Giant) Rice Cauliflower - Plain,42.0,gram,Riced Cauliflower,10.5,2.1,0.8,0.8,0.8,0.1
2020-03-15,19:05:00,2020-03-15 19:05:00,19:20:00,Broccoli - Steamed,85.0,gram,Steamed Broccoli,30.0,6.1,2.8,1.2,2.0,0.3
2020-03-15,19:05:00,2020-03-15 19:05:00,19:20:00,Lemon Juice,1.0,teaspoon,Lemon Juice,0.8,0.3,0.0,0.1,0.0,0.0
