date,time,time_begin,time_end,logged_food,amount,unit,searched_food,calorie,total_carb,dietary_fiber,sugar,protein,total_fat
2020-07-16,10:00:00,2020-07-16 10:00:00,,Coffee + skim milk,10,fluid ounce,,35.0,4.5,0.0,4.7,3.4,0.1
2020-07-16,10:09:00,2020-07-16 10:09:00,10:13:00,Glucerna snack bar,40,grams,,160.0,20.0,3.0,4.0,10.0,5.0
2020-07-16,15:50:00,2020-07-16 15:50:00,15:53:00,Small pc red velvet cake,,,,368.0,36.0,0.3,25.0,4.2,23.0
2020-07-16,17:50:00,2020-07-16 17:50:00,18:10:00,Ruffles chips,3,oz,,447.0,45.0,2.6,0.3,5.4,28.5
2020-07-16,20:30:00,2020-07-16 20:30:00,21:20:00,Panko breaded baked fish ,8,oz,,398.0,14.0,1.2,0.0,32.0,24.0
2020-07-16,20:30:00,2020-07-16 20:30:00,21:20:00,Celery,2,stalks,,13.0,2.4,1.3,1.1,0.6,0.1
2020-07-16,20:30:00,2020-07-16 20:30:00,21:20:00,Onion,1,,,41.5,9.5,1.3,4.5,1.3,0.2
2020-07-17,05:45:00,2020-07-17 05:45:00,06:20:00,Coffee + skim milk,10,fluid ounce,,35.0,4.5,0.0,4.7,3.4,0.1
2020-07-17,07:40:00,2020-07-17 07:40:00,,Coffee,10,fluid ounce,,35.0,4.5,0.0,4.7,3.4,0.1
2020-07-17,07:59:00,2020-07-17 07:59:00,08:05:00,Standard breakfast,,,,280.0,56.5,1.0,24.0,8.0,2.5
2020-07-17,10:40:00,2020-07-17 10:40:00,,Muffin,,,,424.0,60.0,1.3,35.5,5.0,18.0
2020-07-17,13:10:00,2020-07-17 13:10:00,13:12:00,Northern Harvest Sweet + Spicy Chunk light Tuna,2.5 oz,,,80.0,4.0,0.0,3.5,16.0,0.5
2020-07-17,13:50:00,2020-07-17 13:50:00,13:55:00,multigrain cakes,5,crackers,,200.0,28.0,1.5,5.0,3.0,8.4
2020-07-17,18:10:00,2020-07-17 18:10:00,19:13:00,BLT salad,,,,409.0,16.5,3.8,3.8,12.5,33.0
2020-07-17,18:10:00,2020-07-17 18:10:00,,Whole grapefruit,1,,,104.0,26.0,4.0,17.0,1.9,0.3
2020-07-18,01:10:00,2020-07-18 01:10:00,,Slim Fast,,,,171.0,2.5,1.2,1.8,19.5,8.5
2020-07-18,03:30:00,2020-07-18 03:30:00,03:45:00,Coffee + skim milk,10,fluid ounce,,35.0,4.5,0.0,4.7,3.4,0.1
2020-07-18,04:45:00,2020-07-18 04:45:00,04:50:00,Friendly Farm Cottage Cheese 1% milkfat,1/3 cup,,,70.0,2.4,0.0,1.9,7.9,3.1
2020-07-18,04:45:00,2020-07-18 04:45:00,,Harris Teeter canned sliced peaches,3,slices,,55.0,14.5,1.6,13.0,0.8,0.0
2020-07-18,04:45:00,2020-07-18 04:45:00,,Peach juice,3,Tbsp,,25.0,6.6,0.3,5.7,0.1,0.0
2020-07-18,06:20:00,2020-07-18 06:20:00,,Sarah Lee Honey Wheat Bread with Butter,1,slices,,70.0,13.0,0.5,1.0,2.0,1.0
2020-07-18,05:30:00,2020-07-18 05:30:00,,Coffee + skim milk,10,fluid ounce,,35.0,4.5,0.0,4.7,3.4,0.1
2020-07-18,08:15:00,2020-07-18 08:15:00,08:30:00,2 fried eggs,2,eggs,,144.0,0.7,0.0,0.4,12.6,9.6
2020-07-18,08:15:00,2020-07-18 08:15:00,08:30:00,Muffin,1,,,424.0,60.0,1.3,35.5,5.0,18.0
2020-07-18,08:15:00,2020-07-18 08:15:00,08:30:00,Butter,2,tsp,,68.0,0.0,0.0,0.0,0.1,7.7
2020-07-18,11:00:00,2020-07-18 11:00:00,11:05:00,2 slices bacon,2,slices,,108.0,0.4,0.0,0.0,7.8,8.1
2020-07-18,13:00:00,2020-07-18 13:00:00,13:30:00,chicken cesear salad wrap,,,,533.0,32.0,2.6,1.4,29.0,31.5
2020-07-18,13:00:00,2020-07-18 13:00:00,13:30:00,Salt and vinegar chips,1,pckg,,745.0,75.0,4.3,0.4,9.0,47.5
2020-07-18,13:00:00,2020-07-18 13:00:00,13:30:00,Honest Organic Honey Green Tea,16.9,oz,,70.0,19.0,0.0,19.0,0.0,0.0
2020-07-18,20:00:00,2020-07-18 20:00:00,20:30:00,Taco Bell Nachos Grande,,,,740.0,82.0,15.0,5.0,16.0,38.0
2020-07-18,20:00:00,2020-07-18 20:00:00,20:30:00,Taco Bell Cinnamon Twists,,,,170.0,27.0,1.0,13.0,1.0,6.0
2020-07-18,20:00:00,2020-07-18 20:00:00,20:30:00,Crystal Light Lemonade,16,fluid ounce,,198.0,51.0,0.0,49.0,0.3,0.2
2020-07-19,06:00:00,2020-07-19 06:00:00,06:30:00,Coffee + skim milk,10,fluid ounce,,35.0,4.5,0.0,4.7,3.4,0.1
2020-07-19,06:30:00,2020-07-19 06:30:00,07:15:00,Coffee + skim milk,10,fluid ounce,,35.0,4.5,0.0,4.7,3.4,0.1
2020-07-19,07:42:00,2020-07-19 07:42:00,07:52:00,Standard breakfast,,,,280.0,56.5,1.0,24.0,8.0,2.5
2020-07-19,14:07:00,2020-07-19 14:07:00,14:15:00,Slim fast shake,,,,171.0,2.5,1.2,1.8,19.5,8.5
2020-07-19,18:20:00,2020-07-19 18:20:00,18:30:00,2/3 bag Orville Redenbacher butter popcorn,,,,255.0,26.0,3.0,1.0,4.0,17.0
2020-07-19,18:38:00,2020-07-19 18:38:00,18:40:00,Banana,,,,105.0,27.0,3.0,14.5,1.3,0.4
2020-07-19,18:38:00,2020-07-19 18:38:00,,Coffee + skim milk,,,,35.0,4.5,0.0,4.7,3.4,0.1
2020-07-19,20:55:00,2020-07-19 20:55:00,21:55:00,Chef Salad,,,,675.0,26.5,8.0,9.5,28.0,52.0
2020-07-19,20:55:00,2020-07-19 20:55:00,21:55:00,V8 juice ,,,,30.0,7.0,1.0,5.0,1.0,0.0
2020-07-20,04:49:00,2020-07-20 04:49:00,,Slice of Boar's head Swiss cheese,1,slices,,55.0,0.9,0.0,0.4,8.0,1.4
2020-07-20,04:49:00,2020-07-20 04:49:00,,2 muffins,2,muffins,,848.0,120.0,2.6,70.0,10.0,36.0
2020-07-20,04:49:00,2020-07-20 04:49:00,,Coffee + skim milk,10,fluid ounce,,35.0,4.5,0.0,4.7,3.4,0.1
2020-07-20,08:00:00,2020-07-20 08:00:00,08:07:00,2 pieces honey wheat toast with butter,,,,140.0,26.0,1.0,2.0,1.0,2.0
2020-07-20,08:30:00,2020-07-20 08:30:00,,Coffee + skim milk,10,fluid ounce,,35.0,4.5,0.0,4.7,3.4,0.1
2020-07-20,12:00:00,2020-07-20 12:00:00,,Sugg's coconut greek yogurt,,,,140.0,15.0,0.0,15.0,12.5,3.4
2020-07-20,15:30:00,2020-07-20 15:30:00,,Freddy's Steakbuurger,,,,540.0,40.5,0.0,0.0,34.5,26.5
2020-07-20,15:30:00,2020-07-20 15:30:00,,Small chocolate shake (1/2),,,,270.0,48.0,0.7,47.3,7.0,6.3
2020-07-20,17:00:00,2020-07-20 17:00:00,,Coffee + skim milk,10,fluid ounce,,35.0,4.5,0.0,4.7,3.4,0.1
2020-07-20,17:00:00,2020-07-20 17:00:00,,Small chocolate shake (1/2),,,,270.0,48.0,0.7,47.3,7.0,6.3
2020-07-20,17:00:00,2020-07-20 17:00:00,,Ham and cheese sandwhich,,,,517.0,28.5,2.3,3.6,28.0,32.0
2020-07-20,17:00:00,2020-07-20 17:00:00,,Coffee + skim milk,10,fluid ounce,,35.0,4.5,0.0,4.7,3.4,0.1
2020-07-21,06:45:00,2020-07-21 06:45:00,07:15:00,Coffee + skim milk,10,fluid ounce,,35.0,4.5,0.0,4.7,3.4,0.1
2020-07-21,08:19:00,2020-07-21 08:19:00,08:30:00,Standard breakfast,,,,280.0,56.5,1.0,24.0,8.0,2.5
2020-07-21,11:00:00,2020-07-21 11:00:00,11:15:00,1/2 cup cottge cheese,1/2 cup,,,70.0,2.4,0.0,1.9,7.9,3.1
2020-07-21,11:00:00,2020-07-21 11:00:00,11:15:00,peach slices,,,,55.0,14.5,1.6,13.0,0.8,0.0
2020-07-21,08:19:00,2020-07-21 08:19:00,08:45:00,Chai tea,,,,5.0,1.4,0.3,0.0,0.1,0.1
2020-07-21,11:00:00,2020-07-21 11:00:00,11:30:00,Coffee + skim milk,,,,35.0,4.5,0.0,4.7,3.4,0.1
2020-07-21,15:45:00,2020-07-21 15:45:00,16:20:00,Old El Priso burrito 2 taco shells,,,,126.0,16.8,1.8,0.4,1.7,5.8
2020-07-21,15:45:00,2020-07-21 15:45:00,16:20:00,Gnd beef,1/4 lb,,,308.0,0.0,0.0,0.0,31.0,20.0
2020-07-21,15:45:00,2020-07-21 15:45:00,16:20:00,cheese,1,oz,,113.0,0.9,0.0,0.1,6.4,9.3
2020-07-21,15:45:00,2020-07-21 15:45:00,16:20:00,rice + beans,2,Tbsp,,55.0,9.0,1.3,0.3,1.7,1.4
2020-07-21,15:45:00,2020-07-21 15:45:00,16:20:00,Diet Soda,12,fluid ounce,,0.0,0.4,0.0,0.0,0.0,0.0
2020-07-21,20:00:00,2020-07-21 20:00:00,20:40:00,Outback Cobb salad with salmon,,,,577.0,15.0,7.5,5.7,43.0,39.0
2020-07-21,20:00:00,2020-07-21 20:00:00,20:40:00,Blue cheese dressing,8,oz,,146.0,1.4,0.1,1.0,0.4,15.4
2020-07-21,22:00:00,2020-07-21 22:00:00,22:10:00,Outback cheesecake with chocolate sauce,,,,480.0,45.0,1.6,37.0,7.1,32.0
2020-07-22,06:50:00,2020-07-22 06:50:00,,Coffee + skim milk,10,fluid ounce,,35.0,4.5,0.0,4.7,3.4,0.1
2020-07-22,08:15:00,2020-07-22 08:15:00,,Coffee + skim milk,10,fluid ounce,,35.0,4.5,0.0,4.7,3.4,0.1
2020-07-22,08:15:00,2020-07-22 08:15:00,,Muffin,1,,,424.0,60.0,1.3,35.5,5.0,18.0
2020-07-22,12:45:00,2020-07-22 12:45:00,,Coffee + skim milk,10,fluid ounce,,35.0,4.5,0.0,4.7,3.4,0.1
2020-07-22,12:30:00,2020-07-22 12:30:00,,1 whole grapefruit,,,,104.0,26.0,4.0,17.0,1.9,0.3
2020-07-22,12:30:00,2020-07-22 12:30:00,01:00:00,2 leftover burritos,,,,578.0,75.0,12.0,6.7,23.0,22.0
2020-07-22,17:30:00,2020-07-22 17:30:00,,Pecans,2,oz,,100.0,2.1,1.4,0.6,1.4,11.0
2020-07-22,18:00:00,2020-07-22 18:00:00,,Outback bread loaf (1/2) + butter,,,,320.0,60.0,8.4,0.7,11.2,4.0
2020-07-22,18:10:00,2020-07-22 18:10:00,,Banana,1,,,105.0,27.0,3.0,14.5,1.3,0.4
2020-07-24,07:30:00,2020-07-24 07:30:00,,Boost,,,,654.0,82.0,5.6,40.0,26.0,26.0
